site,CowTagID,PlateID,Top_Bottom,Placement,tile,group,total_weight,boat_weight,notes
Cabral,C11,C11,Top,B,C11TB,GFIL,0.915,0.664,
Cabral,C11,C11,Top,B,C11TB,CCA,0.781,0.7,
Cabral,C13,C13,Top,B,C13TB,SAND,0.858,0.686,
Cabral,C17,C17,Top,A,C17TA,CCA,0.729,0.683,
Cabral,C17,C17,Top,A,C17TA,RFIL,0.852,0.671,
Cabral,C17,C17,Top,A,C17TA,SAND,1.174,0.685,
Cabral,C13,C13,Top,B,C13TB,GFIL,0.712,0.663,est
Varari,V5,V5,Top,A,V5TA,RFIL,0.862,0.543,
Cabral,C7,C7,Top,B,C7TB,GFIL,0.941,0.673,
Varari,V20,V20,Top,A,V20TA,SAND,0.818,0.659,
Cabral,C7,C7,Top,B,C7TB,CYO,0.845,0.741,
Varari,V19,V19,Top,B,V19TB,CYO,0.848,0.65,
Varari,V19,V19,Top,B,V19TB,GFIL,0.716,0.65,
Varari,V20,V20,Top,A,V20TA,CCA,0.803,0.621,
Varari,V10,V10,Top,A,V10TA,GFIL,1.187,0.628,
Cabral,C20,C20,Top,A,C20TA,GFIL,0.902,0.669,
Varari,V17,V17,Top,A,V17TA,RFIL,0.704,0.683,
Varari,V14,V14,Top,A,V14TA,CCA,0.882,0.632,
Varari,V17,V17,Top,A,V17TA,GFIL,0.752,0.65,
Varari,V20,V20,Top,A,V20TA,GFIL,0.933,0.655,
Cabral,C4,C4,Top,B,C4TB,CCA,0.808,0.63,
Varari,V5,V5,Top,A,V5TA,GFIL,1.22,0.705,
Varari,V14,V14,Top,A,V14TA,GFIL,0.737,0.676,
Varari,V7,V7,Top,A,V7TA,RFIL,1.256,0.633,
Varari,V19,V19,Top,B,V19TB,RFIL,0.906,0.647,
Varari,V15,V15,Top,B,V15TB,RFIL,0.739,0.696,
Cabral,C20,C20,Top,A,C20TA,CYO,0.774,0.673,
Cabral,C4,C4,Top,B,C4TB,CYO,0.718,0.694,
Cabral,C15,C15,Top,B,C15TB,GFIL,0.882,0.663,
Varari,V15,V15,Top,B,V15TB,GFIL,1.305,0.733,
Cabral,C6,C6,Top,B,C6TB,CYO,0.788,0.654,
Varari,V10,V10,Top,A,V10TA,SAND,1.154,0.645,
Varari,V15,V15,Top,B,V15TB,CCA,0.628,0.596,
Varari,V10,V10,Top,B,V10TB,CCA,0.714,0.664,
Cabral,C8,C8,Top,A,C8TA,GFIL,1.192,0.672,
Cabral,C15,C15,Top,B,C15TB,CYO,0.688,0.653,
Cabral,C4,C4,Top,B,C4TB,GFIL,1.195,0.664,
Varari,V7,V7,Top,A,V7TA,CYO,0.736,0.707,
Varari,V2,V2,Top,B,V2TB,TOTAL_BIOMASS,0.922,0.716,finger swipe tile
Varari,V20,V20,Top,A,V20TA,CYO,0.877,0.677,
Varari,V6,V6,Top,B,V6TB,SAND,0.853,0.618,
Varari,V6,V6,Top,B,V6TB,GFIL,0.91,0.679,
Varari,V7,V7,Top,A,V7TA,GFIL,1.207,0.692,
Varari,V17,V17,Top,A,V17TA,CCA,0.776,0.674,
Varari,V12,V12,Top,A,V12TA,CYO,0.813,0.687,
Varari,V1,V1,Top,B,V1TB,GFIL,1.194,0.651,
Varari,V12,V12,Top,A,V12TA,GFIL,0.855,0.693,
Varari,V19,V19,Top,B,V19TB,SAND_MIX,0.912,0.644,
Varari,V18,V18,Top,B,V18TB,RFIL,0.913,0.694,
Cabral,C1,C1,Top,B,C1TB,GFIL,0.773,0.596,
Varari,V18,V18,Top,B,V18TB,GFIL,0.74,0.675,est
Varari,V18,V18,Top,B,V18TB,SAND_MIX,0.742,0.629,
Cabral,C20,C20,Top,A,C20TA,CCA,0.631,0.617,
Cabral,C8,C8,Top,A,C8TA,RCOR,0.716,0.704,
Varari,V12,V12,Top,A,V12TA,RFIL,0.896,0.699,
Varari,V12,V12,Top,A,V12TA,SAND_MIX,1.229,0.609,
Varari,V18,V18,Top,B,V18TB,CYO,0.69,0.632,
Varari,V6,V6,Top,B,V6TB,CCA,0.682,0.613,
Cabral,C6,C6,Top,B,C6TB,GFIL,0.876,0.654,
Cabral,C15,C15,Top,B,C15TB,CCA,0.73,0.653,
Cabral,C1,C1,Top,B,C1TB,RFIL,1.089,0.655,
Cabral,C19,C19,Top,A,C19TA,CCA,0.675,0.665,
Cabral,C5,C5,Top,A,C5A,SAND,0.773,0.623,
Varari,V11,V11,Top,A,V11TA,GFIL,0.983,0.634,
Cabral,C5,C5,Top,A,C5TA,RFIL,0.92,0.677,
Cabral,C10,C10,Top,B,C10TB,CCA,0.677,0.658,
Varari,V3,V3,Top,B,V3TB,GFIL,1.805,0.664,
Cabral,C9,C9,Top,B,C9TB,SAND,0.809,0.674,
Cabral,C18,C18,Top,A,C18TA,CYO,0.67,0.635,
Varari,V13,V13,Top,A,V13TA,SAND,1.024,0.724,
Varari,V11,V11,Top,A,V11TA,CCA,0.742,0.68,
Cabral,C2,C2,Top,A,C2TA,GFIL,0.882,0.699,
Varari,V16,V16,Top,A,V16TA,RFIL,0.817,0.677,
Varari,V16,V16,Top,A,V16TA,GFIL,0.965,0.681,
Cabral,C9,C9,Top,B,C9TB,GFIL,0.977,0.662,
Cabral,C2,C2,Top,A,C2TA,SAND,1.075,0.639,
Cabral,C10,C10,Top,B,C10TB,SAND,0.898,0.651,
Varari,V16,V16,Top,A,V16TA,CCA,0.765,0.66,
Cabral,C18,C18,Top,A,C18TA,GFIL,0.847,0.699,
Cabral,C5,C5,Top,A,C5TA,GFIL,0.83,0.687,
Cabral,C10,C10,Top,B,C10TB,GFIL,0.881,0.661,
Varari,V13,V13,Top,A,V13TA,GFIL,1.334,0.677,
Cabral,C3,C3,Top,B,C3TB,CCA,0.753,0.666,
Cabral,C18,C18,Top,A,C18TA,SAND,0.924,0.662,
Cabral,C9,C9,Top,B,C9TB,RFIL,0.726,0.653,
Varari,V11,V11,Top,A,V11TA,SAND,0.907,0.626,
Cabral,C19,C19,Top,A,C19TA,SAND,1.109,0.677,
Cabral,C3,C3,Top,B,C3TB,GFIL,0.868,0.701,
Cabral,C19,C19,Top,A,C19TA,GFIL,0.923,0.672,
Varari,V3,V23,Bottom,B,V23BB,CCA,0.602,0.576,
Varari,V19,V39,Bottom,B,V39BB,GFIL,0.842,0.66,
Varari,V3,V23,Bottom,B,V23BB,RFIL,0.894,0.699,
Cabral,C2,C22,Bottom,A,C22BA,SAND,0.967,0.701,
Varari,V5,V25,Bottom,A,V25BA,RFIL,0.874,0.681,
Varari,V3,V23,Bottom,B,V23BB,GFIL,0.771,0.681,
Varari,V2,V22,Bottom,B,V22BB,GFIL,0.99,0.7,
Varari,V19,C39,Bottom,B,C39BB,GFIL,0.819,0.69,
Cabral,C7,C27,Bottom,A,C27BA,CCA,0.679,0.65,
Varari,V16,V36,Bottom,A,V36BA,RMUC,0.677,0.663,
Varari,V7,V27,Bottom,A,V27BA,RMUC,0.719,0.696,
