Sample,Group,Source,Place,Pre_total,Post_total,Post_algae,Ring
ReefAmbient1,ReefAmbient,ambient,open,6.4789,6.675,2.0952,1
ReefAmbient1,ReefAmbient,SGD,open,7.1384,7.6295,2.816,1
ReefAmbient1,ReefAmbient,ambient,cage,7.2261,7.1938,1.7601,1
ReefAmbient1,ReefAmbient,SGD,cage,7.4084,7.8594,2.8939,1
ReefAmbient2,ReefAmbient,ambient,open,5.6783,6.073,1.2019,1
ReefAmbient2,ReefAmbient,SGD,open,6.4068,6.8067,2.3586,1
ReefAmbient2,ReefAmbient,ambient,cage,5.2133,5.6201,1.0323,1
ReefAmbient2,ReefAmbient,SGD,cage,6.2473,6.7991,2.0532,1
ReefAmbient3,ReefAmbient,SGD,open,6.3138,6.827,2.0484,1
ReefAmbient3,ReefAmbient,ambient,open,6.5975,5.6825,1.7345,1
ReefAmbient3,ReefAmbient,SGD,cage,8.6245,8.5261,3.5076,1
ReefAmbient3,ReefAmbient,ambient,cage,6.4668,7.0707,2.3366,1
ReefSGD1,ReefSGD,SGD,open,5.3949,5.5807,2.388,0
ReefSGD1,ReefSGD,ambient,open,5.8468,6.1057,1.8347,0
ReefSGD1,ReefSGD,ambient,cage,4.6279,4.8257,1.4238,0
ReefSGD1,ReefSGD,SGD,cage,5.6174,5.9317,2.3784,0
ReefSGD2,ReefSGD,ambient,open,5.6882,5.7782,2.2057,0
ReefSGD2,ReefSGD,SGD,open,4.8421,4.6283,0.6426,0
ReefSGD2,ReefSGD,ambient,cage,6.3132,6.4698,2.0104,0
ReefSGD2,ReefSGD,SGD,cage,4.3624,4.5042,1.415,0
ReefSGD3,ReefSGD,ambient,open,5.7203,5.3918,2.04,0
ReefSGD3,ReefSGD,SGD,open,5.4674,5.8849,2.3737,0
ReefSGD3,ReefSGD,SGD,cage,5.3454,5.7424,2.5619,0
ReefSGD3,ReefSGD,ambient,cage,4.4488,4.2364,0.8754,0
RockwallSGD1,RockwallSGD,ambient,open,5.4768,5.7053,2.2896,0
RockwallSGD1,RockwallSGD,SGD,open,5.7749,5.9111,1.8393,0
RockwallSGD1,RockwallSGD,ambient,cage,5.6985,5.9073,1.8185,0
RockwallSGD1,RockwallSGD,SGD,cage,5.0529,5.2114,1.5657,0
RockwallSGD2,RockwallSGD,ambient,open,5.3877,5.6763,2.0946,0
RockwallSGD2,RockwallSGD,SGD,open,6.1089,6.3372,2.2565,0
RockwallSGD2,RockwallSGD,SGD,cage,6.4005,6.438,2.8997,0
RockwallSGD2,RockwallSGD,ambient,cage,4.4264,4.5799,1.1852,0
RockwallSGD3,RockwallSGD,SGD,open,5.8141,6.0823,2.8429,0
RockwallSGD3,RockwallSGD,ambient,open,6.07165,6.214,2.4352,0
RockwallSGD3,RockwallSGD,SGD,cage,5.3324,5.5104,2.3917,0
RockwallSGD3,RockwallSGD,ambient,cage,5.7623,5.9864,2.1886,0
SandAmbient1,SandAmbient,SGD,open,8.4987,9.3372,4.5719,1
SandAmbient1,SandAmbient,ambient,open,8.8782,9.3941,4.2708,1
SandAmbient1,SandAmbient,SGD,cage,6.9401,7.4538,2.9485,1
SandAmbient1,SandAmbient,ambient,cage,6.4002,7.0608,2.716,1
SandAmbient2,SandAmbient,ambient,open,8.5036,8.5336,3.1259,1
SandAmbient2,SandAmbient,SGD,open,7.76983,8.2353,3.9906,1
SandAmbient2,SandAmbient,ambient,cage,6.9522,7.2982,2.6931,1
SandAmbient2,SandAmbient,SGD,cage,6.6578,7.2256,2.5136,1
SandAmbient3,SandAmbient,ambient,open,6.7992,6.7261,2.3188,1
SandAmbient3,SandAmbient,SGD,open,6.8944,7.3724,2.7187,1
SandAmbient3,SandAmbient,SGD,cage,6.8108,7.5667,2.3279,1
SandAmbient3,SandAmbient,ambient,cage,6.423,7.055,1.9322,0
SandSGD1,SandSGD,ambient,open,7.6096,7.2496,1.7997,1
SandSGD1,SandSGD,SGD,open,5.2047,5.4597,1.8608,0
SandSGD1,SandSGD,ambient,cage,6.5746,5.972,2.7073,0
SandSGD1,SandSGD,SGD,cage,4.857,5.0477,1.6932,0
SandSGD2,SandSGD,SGD,open,4.7207,5.0441,1.8516,0
SandSGD2,SandSGD,ambient,open,4.3258,4.5189,1.4221,0
SandSGD2,SandSGD,ambient,cage,4.6085,4.8397,1.6264,0
SandSGD2,SandSGD,SGD,cage,5.8282,6.2216,2.153,0
SandSGD3,SandSGD,SGD,open,4.7727,4.816,1.1775,0
SandSGD3,SandSGD,ambient,open,4.2082,4.6027,1.4263,0
SandSGD3,SandSGD,SGD,cage,5.8087,6.0581,1.9773,0
SandSGD3,SandSGD,ambient,cage,5.4269,4.947,1.679,0
