Sample,HighLow,Location,Group,Source,Place,Pre_algae,Post_algae,Date
ReefAmbient1,Low,Reef,ReefAmbient,ambient,cage,4.1489,3.6511,19/7/2022
ReefAmbient1,Low,Reef,ReefAmbient,ambient,open,3.4399,3.3119,19/7/2022
ReefAmbient1,Low,Reef,ReefAmbient,SGD,cage,2.2137,2.2262,19/7/2022
ReefAmbient1,Low,Reef,ReefAmbient,SGD,open,3.1641,3.0446,19/7/2022
ReefAmbient1,Low,Reef,ReefAmbient,ambient,open,1.8991,2.0952,24/6/2022
ReefAmbient1,Low,Reef,ReefAmbient,SGD,open,2.3249,2.816,24/6/2022
ReefAmbient1,Low,Reef,ReefAmbient,ambient,cage,1.7924,1.7601,24/6/2022
ReefAmbient1,Low,Reef,ReefAmbient,SGD,cage,2.4429,2.8939,24/6/2022
ReefAmbient1,Low,Reef,ReefAmbient,ambient,cage,1.4781,1.4381,29/6/2022
ReefAmbient1,Low,Reef,ReefAmbient,ambient,open,2.6745,2.4538,29/6/2022
ReefAmbient1,Low,Reef,ReefAmbient,SGD,cage,1.583,1.4945,29/6/2022
ReefAmbient1,Low,Reef,ReefAmbient,SGD,open,2.2276,1.9531,29/6/2022
ReefAmbient2,Low,Reef,ReefAmbient,ambient,cage,3.2904,2.9997,19/7/2022
ReefAmbient2,Low,Reef,ReefAmbient,ambient,open,2.7481,2.6102,19/7/2022
ReefAmbient2,Low,Reef,ReefAmbient,SGD,cage,2.4376,2.5372,19/7/2022
ReefAmbient2,Low,Reef,ReefAmbient,SGD,open,3.8768,3.3902,19/7/2022
ReefAmbient2,Low,Reef,ReefAmbient,ambient,open,0.8072,1.2019,24/6/2022
ReefAmbient2,Low,Reef,ReefAmbient,SGD,open,1.9587,2.3586,24/6/2022
ReefAmbient2,Low,Reef,ReefAmbient,ambient,cage,0.6255,1.0323,24/6/2022
ReefAmbient2,Low,Reef,ReefAmbient,SGD,cage,1.5014,2.0532,24/6/2022
ReefAmbient2,Low,Reef,ReefAmbient,ambient,open,1.8151,1.8215,29/6/2022
ReefAmbient2,Low,Reef,ReefAmbient,SGD,cage,1.5313,1.5716,29/6/2022
ReefAmbient2,Low,Reef,ReefAmbient,ambient,cage,2.3063,2.4683,29/6/2022
ReefAmbient2,Low,Reef,ReefAmbient,SGD,open,2.4274,2.3664,29/6/2022
ReefAmbient3,Low,Reef,ReefAmbient,ambient,cage,2.6184,2.6661,19/7/2022
ReefAmbient3,Low,Reef,ReefAmbient,ambient,open,2.8951,2.8441,19/7/2022
ReefAmbient3,Low,Reef,ReefAmbient,SGD,cage,3.5918,3.1739,19/7/2022
ReefAmbient3,Low,Reef,ReefAmbient,SGD,open,4.4528,4.0205,19/7/2022
ReefAmbient3,Low,Reef,ReefAmbient,SGD,cage,0.5352,1.0484,24/6/2022
ReefAmbient3,Low,Reef,ReefAmbient,ambient,cage,3.2495,2.3345,24/6/2022
ReefAmbient3,Low,Reef,ReefAmbient,SGD,open,3.606,3.5076,24/6/2022
ReefAmbient3,Low,Reef,ReefAmbient,ambient,open,2.3366,1.7327,24/6/2022
ReefAmbient3,Low,Reef,ReefAmbient,ambient,open,2.8178,2.9613,29/6/2022
ReefAmbient3,Low,Reef,ReefAmbient,ambient,cage,1.4627,1.427,29/6/2022
ReefAmbient3,Low,Reef,ReefAmbient,SGD,cage,2.2234,2.1143,29/6/2022
ReefAmbient3,Low,Reef,ReefAmbient,SGD,open,2.8147,2.8993,29/6/2022
ReefSGD1,High,Reef,ReefSGD,ambient,cage,2.3502,2.3368,19/7/2022
ReefSGD1,High,Reef,ReefSGD,ambient,open,2.5282,2.3239,19/7/2022
ReefSGD1,High,Reef,ReefSGD,SGD,cage,2.1711,2.0159,19/7/2022
ReefSGD1,High,Reef,ReefSGD,SGD,open,3.4946,0.7158,19/7/2022
ReefSGD1,High,Reef,ReefSGD,SGD,open,2.2022,2.388,24/6/2022
ReefSGD1,High,Reef,ReefSGD,ambient,open,1.5758,1.8347,24/6/2022
ReefSGD1,High,Reef,ReefSGD,ambient,cage,1.226,1.4238,24/6/2022
ReefSGD1,High,Reef,ReefSGD,SGD,cage,2.0641,2.3784,24/6/2022
ReefSGD1,High,Reef,ReefSGD,ambient,cage,1.7973,1.6827,29/6/2022
ReefSGD1,High,Reef,ReefSGD,ambient,open,2.204,1.0371,29/6/2022
ReefSGD1,High,Reef,ReefSGD,SGD,open,2.6878,1.4403,29/6/2022
ReefSGD1,High,Reef,ReefSGD,SGD,cage,2.5759,2.5997,29/6/2022
ReefSGD2,High,Reef,ReefSGD,ambient,cage,3.982,3.7044,19/7/2022
ReefSGD2,High,Reef,ReefSGD,ambient,open,4.4143,3.0508,19/7/2022
ReefSGD2,High,Reef,ReefSGD,SGD,cage,2.513,2.3641,19/7/2022
ReefSGD2,High,Reef,ReefSGD,SGD,open,3.1619,1.0566,19/7/2022
ReefSGD2,High,Reef,ReefSGD,ambient,open,2.1157,2.2057,24/6/2022
ReefSGD2,High,Reef,ReefSGD,SGD,open,0.8564,0.6426,24/6/2022
ReefSGD2,High,Reef,ReefSGD,ambient,cage,1.8538,2.0104,24/6/2022
ReefSGD2,High,Reef,ReefSGD,SGD,cage,1.2732,1.415,24/6/2022
ReefSGD2,High,Reef,ReefSGD,ambient,cage,2.0474,1.8342,29/6/2022
ReefSGD2,High,Reef,ReefSGD,ambient,open,2.2049,1.3599,29/6/2022
ReefSGD2,High,Reef,ReefSGD,SGD,open,2.0276,0.9046,29/6/2022
ReefSGD2,High,Reef,ReefSGD,SGD,cage,1.8025,1.7256,29/6/2022
ReefSGD3,High,Reef,ReefSGD,ambient,cage,3.5733,3.3745,19/7/2022
ReefSGD3,High,Reef,ReefSGD,ambient,open,2.1725,1.5553,19/7/2022
ReefSGD3,High,Reef,ReefSGD,SGD,cage,3.487,3.3131,19/7/2022
ReefSGD3,High,Reef,ReefSGD,SGD,open,4.7859,3.5637,19/7/2022
ReefSGD3,High,Reef,ReefSGD,ambient,open,2.3685,2.04,24/6/2022
ReefSGD3,High,Reef,ReefSGD,SGD,open,1.9562,2.3737,24/6/2022
ReefSGD3,High,Reef,ReefSGD,SGD,cage,2.1649,2.5619,24/6/2022
ReefSGD3,High,Reef,ReefSGD,ambient,cage,1.0878,0.8754,24/6/2022
ReefSGD3,High,Reef,ReefSGD,ambient,cage,2.5696,2.7448,29/6/2022
ReefSGD3,High,Reef,ReefSGD,SGD,open,3.571,1.77,29/6/2022
ReefSGD3,High,Reef,ReefSGD,ambient,open,3.4951,3.4849,29/6/2022
ReefSGD3,High,Reef,ReefSGD,SGD,cage,2.1993,2.4551,29/6/2022
RockwallSGD1,High,Rockwall,RockwallSGD,ambient,cage,3.4175,3.1371,19/7/2022
RockwallSGD1,High,Rockwall,RockwallSGD,ambient,open,3.3984,3.2679,19/7/2022
RockwallSGD1,High,Rockwall,RockwallSGD,SGD,cage,2.3321,2.3085,19/7/2022
RockwallSGD1,High,Rockwall,RockwallSGD,SGD,open,3.4777,3.4426,19/7/2022
RockwallSGD1,High,Rockwall,RockwallSGD,ambient,open,2.0611,2.2896,24/6/2022
RockwallSGD1,High,Rockwall,RockwallSGD,SGD,open,1.7031,1.8393,24/6/2022
RockwallSGD1,High,Rockwall,RockwallSGD,ambient,cage,1.6097,1.8185,24/6/2022
RockwallSGD1,High,Rockwall,RockwallSGD,SGD,cage,1.4072,1.5657,24/6/2022
RockwallSGD1,High,Rockwall,RockwallSGD,ambient,open,3.038,3.1366,29/6/2022
RockwallSGD1,High,Rockwall,RockwallSGD,ambient,cage,2.5237,2.8179,29/6/2022
RockwallSGD1,High,Rockwall,RockwallSGD,SGD,open,2.8345,2.5432,29/6/2022
